Maximum_humidity_,Average_humidity_,Minimum_humidity_,Precipitation_mm,Average_temperature_C,Maximum_temperature_C,Minimum_temperature_C,Heating_Degree_Days_Base_20_C,Heating_Degree_Days_base_18_C,Cooling_Degree_Days_Base_21_C,Average_speed_ms,Gust_speed_ms,Stay_time_min,Calm_duration_min,Ava_date
93.0,66.0,37.0,3.2,13.3,18.8,9.1,6.1,4.1,0.0,1.1,8.9,440.0,190.0,0.0
99.0,97.0,91.0,27.2,10.2,11.0,9.4,9.8,7.8,0.0,0.7,3.7,440.0,410.0,0.0
99.0,91.0,65.0,13.0,11.3,17.2,8.5,7.2,5.2,0.0,0.9,4.8,440.0,210.0,0.0
97.0,86.0,61.0,2.8,9.5,12.9,6.5,10.3,8.3,0.0,1.0,5.5,440.0,150.0,0.0
85.0,58.0,38.0,0.0,12.6,18.6,6.7,7.4,5.4,0.0,1.6,7.6,360.0,30.0,0.0
68.0,57.0,40.0,0.0,10.7,14.5,5.9,9.8,7.8,0.0,1.6,10.5,650.0,30.0,0.0
65.0,55.0,42.0,0.0,7.1,10.2,5.3,12.3,10.3,0.0,1.8,10.7,580.0,20.0,0.0
68.0,53.0,38.0,0.0,10.1,15.9,4.7,9.7,7.7,0.0,1.0,8.2,240.0,10.0,0.0
81.0,52.0,23.0,0.0,13.0,19.4,6.5,7.1,5.1,0.0,1.2,7.0,410.0,30.0,0.0
91.0,66.0,33.0,0.0,13.3,19.5,7.7,6.4,4.4,0.0,1.2,6.6,440.0,230.0,0.0
89.0,58.0,34.0,0.0,15.4,21.3,9.1,4.8,0.0,0.0,1.7,7.4,500.0,10.0,0.0
92.0,64.0,43.0,0.0,15.1,21.0,10.2,4.4,0.0,0.0,1.6,6.9,500.0,40.0,0.0
85.0,61.0,39.0,0.0,16.3,23.4,10.2,3.2,0.0,0.0,1.9,8.0,550.0,40.0,0.0
80.0,66.0,36.0,0.0,17.0,24.7,11.2,2.1,0.0,0.0,1.4,6.3,560.0,70.0,0.0
85.0,62.0,38.0,0.0,17.5,24.2,13.4,1.2,0.0,0.0,1.3,6.2,530.0,70.0,0.0
90.0,71.0,48.0,6.8,15.8,22.5,11.9,2.8,0.0,0.0,1.3,9.4,550.0,80.0,0.0
89.0,63.0,42.0,3.6,16.9,24.3,11.7,2.0,0.0,0.0,1.5,7.6,550.0,50.0,0.0
92.0,67.0,40.0,2.6,17.3,24.5,12.1,1.7,0.0,0.0,1.6,7.5,520.0,90.0,0.0
90.0,70.0,46.0,1.0,17.7,24.4,12.6,1.5,0.0,0.0,1.5,6.3,660.0,50.0,0.0
91.0,72.0,38.0,8.0,17.0,25.3,14.0,0.4,0.0,0.0,1.4,6.3,590.0,50.0,0.0
81.0,53.0,32.0,0.2,19.2,25.9,14.7,0.0,0.0,0.0,1.3,8.3,390.0,50.0,0.0
72.0,52.0,31.0,0.0,19.8,25.2,14.5,0.2,0.0,0.0,1.6,9.3,370.0,0.0,0.0
61.0,45.0,19.0,0.0,18.9,24.5,13.4,1.1,0.0,0.0,1.4,7.6,210.0,30.0,0.0
94.0,61.0,40.0,0.0,18.3,24.7,11.9,1.7,0.0,0.0,1.3,6.8,440.0,200.0,0.0
98.0,83.0,65.0,0.0,17.9,22.4,14.0,1.8,0.0,0.0,1.1,5.8,440.0,240.0,0.0
94.0,69.0,46.0,0.0,19.4,25.4,14.3,0.2,0.0,0.0,1.5,4.9,570.0,70.0,0.0
90.0,73.0,57.0,0.2,18.3,24.2,13.9,1.0,0.0,0.0,1.5,6.2,640.0,20.0,0.0
97.0,72.0,43.0,8.4,17.8,25.6,13.7,0.4,0.0,0.0,1.4,5.1,720.0,70.0,0.0
95.0,74.0,49.0,0.0,19.0,25.4,13.3,0.7,0.0,0.0,1.3,5.6,470.0,140.0,0.0
98.0,76.0,42.0,0.2,19.3,25.8,14.6,0.0,0.0,0.0,1.3,5.2,540.0,60.0,0.0
97.0,75.0,44.0,0.0,19.3,25.6,13.8,0.3,0.0,0.0,1.5,6.2,550.0,110.0,0.0
96.0,64.0,35.0,0.0,20.0,26.5,14.4,0.0,0.0,0.0,1.6,6.6,670.0,50.0,0.0
94.0,69.0,43.0,0.0,19.4,25.1,14.2,0.4,0.0,0.0,1.7,6.8,570.0,50.0,0.0
86.0,56.0,18.0,0.0,19.3,25.2,12.7,1.1,0.0,0.0,1.2,8.3,380.0,80.0,0.0
70.0,40.0,15.0,0.0,17.9,24.3,11.1,2.3,0.0,0.0,1.6,8.3,440.0,40.0,0.0
94.0,69.0,49.0,0.0,16.6,22.3,10.9,3.4,0.0,0.0,1.5,5.8,440.0,190.0,0.0
98.0,80.0,52.0,3.8,16.7,23.1,12.0,2.5,0.0,0.0,1.3,6.0,440.0,150.0,0.0
99.0,81.0,49.0,0.0,17.3,23.2,12.9,2.0,0.0,0.0,0.9,6.7,440.0,390.0,0.0
97.0,83.0,55.0,14.0,16.6,23.0,12.5,2.3,0.0,0.0,1.2,4.7,440.0,150.0,0.0
95.0,65.0,37.0,4.0,15.0,21.8,10.3,4.0,0.0,0.0,1.5,15.4,360.0,20.0,0.0
58.0,48.0,39.0,0.0,12.6,17.5,9.1,6.7,4.7,0.0,2.0,13.3,390.0,0.0,0.0
55.0,44.0,26.0,0.0,13.8,19.4,9.4,5.6,3.6,0.0,1.4,8.7,240.0,20.0,0.0
65.0,47.0,31.0,0.0,14.2,19.9,8.3,5.9,3.9,0.0,1.7,9.3,330.0,10.0,0.0
61.0,43.0,22.0,0.0,15.9,20.9,11.8,3.7,0.0,0.0,1.9,11.9,370.0,10.0,0.0
58.0,42.0,25.0,0.0,17.3,23.9,10.6,2.8,0.0,0.0,1.3,8.1,210.0,30.0,0.0
63.0,47.0,32.0,0.0,14.8,18.5,10.8,5.4,3.4,0.0,1.6,11.3,530.0,0.0,0.0
81.0,50.0,28.0,0.0,13.3,19.8,8.1,6.1,4.1,0.0,1.6,9.4,380.0,0.0,0.0
93.0,67.0,38.0,0.0,14.6,20.6,8.3,5.6,3.6,0.0,1.6,5.5,580.0,40.0,0.0
94.0,75.0,52.0,1.2,16.1,22.8,10.5,3.4,0.0,0.0,1.3,5.2,450.0,60.0,0.0
94.0,76.0,53.0,4.0,15.5,20.6,11.5,4.0,0.0,0.0,1.2,7.2,410.0,50.0,0.0
62.0,50.0,32.0,0.0,15.3,20.5,11.1,4.2,0.0,0.0,1.4,10.7,430.0,50.0,0.0
92.0,59.0,38.0,0.0,14.4,20.7,8.9,5.2,3.2,0.0,1.6,6.8,340.0,60.0,0.0
90.0,58.0,39.0,0.6,12.0,17.1,8.7,7.1,5.1,0.0,1.5,12.0,350.0,10.0,0.0
61.0,46.0,30.0,0.0,12.0,18.0,7.5,7.3,5.3,0.0,2.0,11.7,360.0,0.0,0.0
58.0,32.0,11.0,0.0,15.6,24.6,6.9,4.3,0.0,0.0,1.4,7.0,400.0,20.0,0.0
49.0,39.0,26.0,0.0,18.2,24.4,12.9,1.4,0.0,0.0,1.4,7.9,370.0,40.0,0.0
96.0,51.0,23.0,0.4,17.1,24.4,11.4,2.1,0.0,0.0,1.4,7.0,420.0,60.0,0.0
96.0,70.0,48.0,0.0,16.7,22.7,11.9,2.7,0.0,0.0,1.4,7.3,480.0,130.0,0.0
